Name,Price,Release Date,Publisher,Developer,Percent Positive Reviews (30 days),Total Number Reviews (30 days),PerPosRevAT,Total Number Reviews (All Time),Genere(s),Storage Capacity,Mac?,Windows?,Steam OS + Linux?
Freddi Fish Complete Pack, 6.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
The Crown of Leaves (both chapters) + Soundtrack, 39.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
I will eat you, 4.99 ,12/6/2019,"Butengo,","Butengo,",N/A,N/A,79,197,"Indie, PvP, Family Friendly, Funny, Online Co-Op, Multiplayer, Casual, RPG, Action, Adventure, Stealth, Co-op, Third Person, Team-Based, Atmospheric, Massively Multiplayer, Fantasy, Psychological Horror, Addictive, Beautiful,",6 GB available space,0,1,0
Love Puzzle, 1.99 ,12/11/2020,"Romantic Room,","Romantic Room,",14,14,52,169,"Casual, Adventure, Anime, 2D, Strategy, Match 3, Cute, Indie, Colorful, Linear, Simulation, Singleplayer, Clicker, Character Action Game, Idler, Dating Sim, Minimalist, Hand-drawn, Puzzle, Atmospheric,",500 MB available space,0,1,0
As Far As The Eye, 29.99 ,9/10/2020,"Goblinz Publishing, Maple Whispering Limited,","Unexpected,",62,16,78,1294,"Strategy, Building, Colony Sim, City Builder, Tabletop, Sandbox, Turn-Based Strategy, Singleplayer, Survival, 3D, Hex Grid, Roguelike, Management, Resource Management, Simulation, Fantasy, Difficult, Economy, 4X, Family Friendly,",2 GB available space,0,1,0
Castle Flipper, 18.99 ,5/26/2021,"Gaming Factory S.A., Ultimate Games S.A.,","▲ Pyramid Games,",52,17,58,509,"Immersive Sim, Medieval, Design & Illustration, Education, Indie, Exploration, Base Building, Physics, Real-Time, Singleplayer, 3D, First-Person, Funny, Memes, Open World, Realistic, Action, Colorful, Arcade, Replay Value,",20 GB available space,0,1,0
Wurm Unlimited, 29.99 ,10/21/2015,"Plug In Digital,","Code Club AB,",N/A,N/A,72,1682,"Open World Survival Craft, Open World, RPG, Sandbox, Crafting, Survival, Building, Adventure, Multiplayer, Indie, Base Building, Co-op, MMORPG, Singleplayer, PvP, First-Person, Medieval, Fantasy, PvE, Massively Multiplayer,",3000 MB available space,0,1,1
EARTH DEFENSE FORCE: IRON RAIN, 39.99 ,10/15/2019,"D3 PUBLISHER,","YUKE'S,",N/A,N/A,57,754,"Action, Third-Person Shooter, Mechs, Co-op, Multiplayer, Online Co-Op, Aliens, Sci-fi, Local Co-Op, Class-Based, Difficult, Split Screen, Character Customization,",24 GB available space,0,1,0
The Dark Eye: Chains of Satinav, 19.99 ,6/22/2012,"Daedalic Entertainment,","Daedalic Entertainment,",N/A,N/A,86,1563,"Adventure, Point & Click, Singleplayer, Fantasy, Puzzle, Story Rich, Indie, Great Soundtrack, Retro, Cult Classic, 2D, Hand-drawn,",N/A,1,1,0
Sacred Gold, 9.99 ,8/14/2006,"Strategy First,","Ascaron Entertainment ltd.,",83,31,83,2705,"RPG, Open World, Hack and Slash, Action, Classic, Fantasy, Action RPG, Singleplayer, Isometric, Adventure, Co-op, Multiplayer, Loot, Story Rich, Atmospheric, Female Protagonist,",N/A,0,1,0
EARTH DEFENSE FORCE: WORLD BROTHERS, 39.99 ,5/27/2021,"D3 PUBLISHER,","YUKE'S,",N/A,N/A,81,438,"Action, Shooter, Third-Person Shooter, 3D, Cute, Voxel, Co-op, Online Co-Op, Sci-fi, Multiplayer, Singleplayer, Aliens,",8 GB available space,0,1,0
NOBUNAGA'S AMBITION: Sphere of Influence, 59.99 ,9/1/2015,"KOEI TECMO GAMES CO., LTD.,","KOEI TECMO GAMES CO., LTD.,",N/A,N/A,83,474,"Strategy, Historical, Grand Strategy, Singleplayer, Simulation, Turn-Based,",7 GB available space,0,1,0
Hearts of Iron III: Semper Fi, 4.99 ,6/7/2010,"Paradox Interactive,","Paradox Development Studio,",N/A,N/A,N/A,N/A,"Strategy, Grand Strategy, World War II,",N/A,0,1,0
NBA 2K Playgrounds 2, 39.99 ,10/15/2018,"2K,","Saber Interactive,",81,11,78,936,"Sports, Basketball, Multiplayer, Arcade,",6 GB available space,0,1,0
Drawn Trilogy, 59.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Tokyo Xanadu eX+, 59.99 ,12/8/2017,"Aksys Games,","Nihon Falcom,",N/A,N/A,87,984,"JRPG, RPG, Action RPG, Anime, Great Soundtrack, Singleplayer, Story Rich, Action, Hack and Slash,",N/A,0,1,0
DEEP SPACE WAIFU COLLECTION, 34.1 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Orwell: Keeping an Eye On You, 39.99 ,10/27/2016,"Osmotic Studios,","Osmotic Studios,",85,57,91,7107,"Choices Matter, Political Sim, Dystopian , Story Rich, Indie, Singleplayer, Simulation, Detective, Interactive Fiction, Hacking, Adventure, Politics, Political, Atmospheric, Mouse only, Visual Novel, Episodic, Mystery, Great Soundtrack, Point & Click,",3 GB available space,1,1,1
Lacuna – A Sci-Fi Noir Adventure, 390.66 ,5/20/2021,"Assemble Entertainment, WhisperGames, Mayflower Entertainment,","DigiTales Interactive,",94,18,93,512,"Interactive Fiction, Noir, Detective, Multiple Endings, Pixel Graphics, Conversation, Crime, Cyberpunk, Narration, Choices Matter, Sci-fi, Text-Based, Linear, Thriller, Drama, Adventure, 2D, Futuristic, Investigation, Story Rich,",3 GB available space,0,1,0
Tools Up! The Renovation Spree Bundle, 29.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
These nights in Cairo, 7.99 ,10/15/2017,"7DOTS,","Salamandra88,",N/A,N/A,92,191,"Sexual Content, Otome, Visual Novel, Indie, Casual, Nudity, Female Protagonist, Fantasy, Romance, LGBTQ+,",300 MB available space,1,1,1
Lethal League Blaze + Soundtrack, 49.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
iFAction Game Maker, 34.99 ,1/15/2020,"iFAction Studio,","iFAction Studio,",N/A,N/A,80,89,"Action, RPG, GameMaker, Indie, Game Development,",1 GB available space,0,1,0
CMS 2018 + CMS VR, 39.98 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
GameGuru Unlimited, 384.86 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Planescape: Torment: Enhanced Edition Official Soundtrack, 151.89 ,4/11/2017,"Beamdog,","Beamdog,",N/A,N/A,80,15,"Strategy, Adventure, RPG, Soundtrack,",440 MB available space,1,1,1
The Deed: Dynasty, 2.99 ,5/10/2016,"GrabTheGames, WhisperGames,","Pilgrim Adventures,",N/A,N/A,89,378,"Adventure, Crime, RPGMaker, Indie, Atmospheric, Story Rich, Choices Matter, RPG, Detective, Puzzle, Mystery, Historical, 2D, Difficult, Simulation, Surreal, Sexual Content, Pixel Graphics, Family Friendly,",350 MB available space,0,1,0
ROMANCE OF THE THREE KINGDOMS XIV, 59.99 ,1/15/2020,"KOEI TECMO GAMES CO., LTD.,","KOEI TECMO GAMES CO., LTD.,",55,228,57,8815,"Simulation, Strategy, Historical, Singleplayer, Grand Strategy, Turn-Based Strategy, RPG, War, Turn-Based, Romance, Nudity,",20 GB available space,0,1,0
Return to Shironagasu Island Soundtrack, 4.99 ,6/5/2021,"TABINOMICHI,","HYOGO ONIMUSHI,",N/A,N/A,10,12,"Indie, Soundtrack,",400 MB available space,0,1,0
EMERGENCY 20, 59.99 ,10/31/2017,"Sixteen Tons Entertainment,","Sixteen Tons Entertainment,",77,22,81,972,"Strategy, Simulation, Real Time Tactics, Mod, Multiplayer, Singleplayer, Realistic, Co-op, Real-Time, Online Co-Op, Moddable, RTS, Classic, Management,",20 GB available space,1,1,0
Townsmen - A Kingdom Rebuilt Complete Edition, 29.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Cannibal Crossing, 19.99 ,10/23/2020,"Rocketcat Games,","Everplay Interactive, Blow and Try Again, Rocketcat Games,",N/A,N/A,76,95,"Early Access, Action Roguelike, Online Co-Op, Base Building, Action, Open World, Top-Down Shooter, Adventure, Survival, Procedural Generation, Crafting, Roguelike, Indie, Post-apocalyptic, 2D, Funny, Top-Down, Co-op, Combat, Local Co-Op,",1250 MB available space,0,1,0
Pajama Sam's Lost & Found, 4.99 ,12/31/1998,"Humongous Entertainment, Nightdive Studios,","Humongous Entertainment,",N/A,N/A,71,14,"Casual, Family Friendly, Adventure, Point & Click,",512 MB available space,1,1,1
Vampire: The Masquerade - The New York Bundle, 39.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Battle Chasers: Nightwar, 29.99 ,10/3/2017,"THQ Nordic,","Airship Syndicate,",88,68,87,4522,"RPG, Turn-Based Combat, Singleplayer, JRPG, Dungeon Crawler, Fantasy, Indie, Atmospheric, Comic Book, Turn-Based, Great Soundtrack, Crowdfunded, Story Rich, Fishing, Loot, Isometric, Open World, Adventure, Female Protagonist, Anime,",10 GB available space,1,1,1
Rayman® Origins, 19.99 ,3/29/2012,"Ubisoft,","UBIart Montpellier,",92,57,93,2455,"Platformer, Local Co-Op, 2D, Adventure, Cartoony, Action, Great Soundtrack, Colorful, Funny, Singleplayer, Co-op, Local Multiplayer, Comedy, Controller, Family Friendly, 4 Player Local, Side Scroller, Multiplayer, Fantasy, Difficult,",N/A,0,1,0
