Name,Price,Release Date,Publisher,Developer,PerPosRev30,TNR30,PerPosRevAT,TNRAT,Genre,Storage,Mac,Windows,SteamLinux,MacWindow,MacSteam,WindowSteam,All,AvgNRAT,AvgNR30,AvgPrice
Battle Chess 4N/AN/AN/A,9.99,10/14/2021,"Interplay Entertainment Corp.,","Interplay Entertainment Corp.,",0,0,0,0,Strategy,100,1,1,1,1,1,1,1,4109.025381,81.53553299,41.05142132
The Ditzy Demons Are in Love With Me,14.99,10/26/2018,"Sekai Project,","SMILE,",0,0,97,1214,Visual,6,0,1,0,0,0,0,0,1387.811321,32.50943396,30.06169811
Sakura Succubus 2,9.99,7/20/2020,"Winged Cloud,","Winged Cloud,",0,0,90,160,Sexual,0.27,1,1,1,1,1,1,1,2270.12,55.18666667,18.34426667
Sakura Succubus 3,19.99,11/2/2020,"Winged Cloud,","Winged Cloud,",0,0,90,103,Sexual,0.3,0,1,1,0,0,1,0,2270.12,55.18666667,18.34426667
Army Men RTS,5.99,3/28/2002,"2K,","Pandemic Studios,",10,15,86,499,Strategy,0.35,0,1,0,0,0,0,0,4109.025381,81.53553299,41.05142132
Brutal Legend Soundtrack,243.17,2/13/2013,"Double Fine Productions,","Double Fine Productions,",0,0,86,50,Action,0,0,0,0,0,0,0,0,3264.582596,57.48230088,45.25634218
Winds Of Trade,14.99,2/13/2017,"Hermes Interactive,","Hermes Interactive,",0,0,62,135,Strategy,1,0,1,1,0,0,1,0,4109.025381,81.53553299,41.05142132
Puzzletronics Analog Eletronics,6.94,3/24/2021,"Naoka Games,","Naoka Games,",0,0,80,35,Casual,0.15,0,1,0,0,0,0,0,591.1660777,19.47349823,25.58780919
Dungeon Siege,39.99,4/5/2002,"Square Enix,","Gas Powered Games,",79,29,78,2544,RPG,0,0,1,0,0,0,0,0,4388.014535,70.58139535,41.3109593
RoBoRumble,5.99,2/24/1998,"TopWare Interactive ACE,","Metropolis,",0,0,78,14,Strategy,0.85,1,1,0,1,0,0,0,4109.025381,81.53553299,41.05142132
[TDAN/A2] Muv-Luv Unlimited: THE DAY AFTER - Episode N/A2 REMASTERED,59.99,1/29/2021,"aNCHOR Inc.,","aNCHOR Inc., fuzz, Inc.,",0,0,80,15,Adventure,1,0,1,0,0,0,0,0,1660.002024,30.6437247,53.61291498
Yummy Girl,0.99,5/14/2021,"Hunny Bunny Studio,","Yummy Yummy Studio,",0,0,73,82,Sexual,0.4,0,1,0,0,0,0,0,2270.12,55.18666667,18.34426667
Grim Legends 3: The Dark City,29.99,6/2/2016,"Artifex Mundi,","Artifex Mundi,",0,0,91,382,Hidden,2,1,1,1,1,1,1,1,700.7391304,6.173913043,35.5226087
Sentinels of the Multiverse - Season Pass 1,24.99,7/6/2015,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1.719557196,0.070110701,30.50527675
ENCODYA,390.66,1/26/2021,"Assemble Entertainment,","Chaosmonger Studio,",0,0,78,83,Adventure,4,1,1,1,1,1,1,1,1660.002024,30.6437247,53.61291498
